Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,18.375,no data,no data,no data,no data,no data,no data,no data
Brunei Darussalam,no data,no data,no data,no data,no data,0.861,0.585,0.637,0.554,0.582,0.618,0.589,0.545,0.533,0.513,0.532,0.509,0.523,0.445,0.466,0.518,0.479,0.473,0.492,0.556,0.64,0.683,0.672,0.744,0.576,0.599,0.705,0.676,0.668,0.65,0.685,0.666,0.647,0.69,0.655,0.576,0.637,0.74,0.635,0.634,0.625,0.615,0.61,0.605
Bulgaria,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.007,0.013,0.022,0.035,0.345,0.457,0.465,0.489,0.507,0.519,0.52,0.534,0.552,0.572,0.618,0.656,0.677,0.674,0.701,0.693,0.68,0.661,0.679,0.667,0.674,0.686,0.709,0.73,0.749,0.805,0.856,0.864,0.873,0.875,0.879,0.882
Burkina Faso,196.622,195.795,204.861,211.459,205.89,203.811,187.11,184.853,184.643,186.26,182.791,169.795,166.389,160.193,179.803,188.033,185.295,184.989,197.455,203.35,197.215,200.51,203.469,202.493,197.378,198.533,191.314,190.923,204.489,208.075,213.374,223.116,238.979,231.079,231.326,225.416,215.197,208.757,204.967,204.629,215.79,204.831,203.099,199.519,201.05,201.019,201.057,201.317,201.608
Burundi,66.663,56.503,56.805,57.634,65.019,66.163,62.591,59.024,57.805,64.445,64.81,64.83,66.778,70.28,73.378,83.443,93.781,119.628,131.834,156.786,193.662,216.201,219.469,232.248,258.541,288.042,287.372,302.96,369.243,403.908,434.736,461.509,527.053,539.311,547.1,570.659,585.893,654.896,621.289,615.36,643.625,668.291,739.192,884.123,1011.198,1099.185,1196.346,1300.082,1415.269
Cabo Verde,26.886,26.916,29.761,31.668,33.246,33.409,38.547,40.373,41.114,40.959,40.422,40.983,41.346,44.888,47.063,48.22,49.149,49.46,50.591,53.38,50.849,50.381,49.442,52.311,50.107,47.835,47.51,48.153,49.001,49.64,49.372,49.695,51.141,51.855,51.84,50.453,49.364,48.477,48.146,47.594,47.638,45.609,45.727,45.814,45.61,45.519,45.54,45.637,45.72
Cambodia,no data,no data,no data,no data,no data,no data,no data,29.609,50.137,57.412,136.028,272.76,467.761,947.677,914.228,1002.943,1014.776,1057.481,1154.022,1152.343,1082.668,1082.702,1073.689,1071.834,1094.165,1125.363,1142.235,1184.671,1304.816,1328.976,1354.171,1371.235,1336.79,1340.068,1386.036,1395.92,1402.131,1428.354,1438.223,1458.594,1430.131,1386.335,1348.326,1336.33,1336.847,1343.723,1352.885,1362.854,1372.685
Cameroon,166.468,165.51,175.277,190.216,208.481,224.609,220.53,210.072,204.66,193.251,189.458,189.712,183.018,182.299,204.149,218.911,220.948,224.863,230.82,232.787,232.166,234.838,236.81,237.797,232.965,231.233,230.102,225.639,232.309,239.055,237.758,238.707,242.194,241.083,239.119,240.708,237.444,232.801,231.501,230.2,228.377,225.871,223.048,222.682,223.664,224.289,222.976,221.869,220.882
Canada,1.118,1.126,1.154,1.175,1.174,1.176,1.189,1.216,1.228,1.237,1.233,1.229,1.219,1.206,1.198,1.2,1.199,1.192,1.177,1.183,1.206,1.199,1.196,1.211,1.218,1.217,1.211,1.218,1.243,1.206,1.226,1.24,1.245,1.224,1.23,1.248,1.207,1.205,1.195,1.193,1.185,1.226,1.228,1.195,1.2,1.199,1.199,1.202,1.204
Central African Republic,167.466,175.42,188.849,204.248,196.874,250.776,233.038,213.393,212.672,208.956,199.749,190.525,186.87,179.079,201.415,226.115,218.286,225.829,231.508,233.691,228.595,233.161,233.654,236.356,230.834,234.173,233.946,229.078,237.112,244.717,251.994,256.761,262.129,254.347,290.945,283.524,280.048,286.829,283.756,285.517,287.091,283.831,282.625,291.601,298.324,300.283,301.959,303.506,305.372
Chad,89.435,138.414,139.882,144.463,163.58,149.217,131.003,121.324,126.285,120.548,115.81,104.169,97.286,90.728,133.755,145.47,159.378,162.603,171.646,156.443,161.069,179.255,179.871,176.491,188.641,225.098,240.031,241.724,257.524,231.622,243.054,258.131,285.354,308.42,300.386,252.075,246.884,243.655,243.422,242.911,235.224,240.787,250.739,240.115,238.939,238.473,238.968,240.027,241.274
Chile,29.254,29.793,31.604,39.334,43.58,58.027,69.452,85.293,101.09,110.384,130.332,154.163,171.499,187.45,209.582,229.311,236.269,240,239.178,241.014,246.422,251.3,255.71,261.544,272.599,283.13,308.575,315.745,310.768,319.836,344.031,348.017,347.228,349.681,367.214,391.361,409.978,411.264,407.995,411.117,444.931,454.75,453.209,470.976,475.645,481.439,487.452,492.823,498.385
"China, People's Republic of",1.5,1.413,1.336,1.3,1.316,1.404,1.442,1.479,1.602,1.678,1.712,1.762,1.859,2.091,2.465,2.743,2.872,2.869,2.808,2.733,2.729,2.725,2.703,2.723,2.833,2.868,2.889,3.033,3.193,3.168,3.326,3.524,3.561,3.664,3.759,3.871,3.989,4.184,4.228,4.241,4.239,4.177,3.988,3.809,3.791,3.782,3.785,3.796,3.809
Colombia,27.932,31.327,36.811,42.652,50.297,60.887,77.095,92.821,114.54,137.426,169.869,207.15,249.162,301.577,370.911,431.78,495.539,569.176,645.992,717.422,779.773,812.301,847.57,887.925,927.686,951.445,976.566,1000.336,1056.868,1092.818,1120.925,1168.243,1203.585,1206.679,1220.607,1276.479,1285.21,1314.787,1343.368,1372.523,1374.895,1416.683,1513.76,1597.313,1622.964,1637.919,1655.514,1674.474,1693.242
Comoros,158.563,154.569,160.592,168.71,172.77,170.091,169.373,170.549,167.038,169.748,158.974,169.403,157.743,157.566,173.871,180.846,182.809,181.536,181.96,186.356,193.827,203.585,208.122,214.157,209.468,202.268,207.892,212.614,215.173,215.911,216.921,218.978,213.964,211.5,206.343,203.344,197.571,190.126,187.437,192.406,191.358,182.53,179.65,178.844,176.794,176.405,176.511,176.699,176.786
"Congo, Dem. Rep. of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.073,0.537,1.544,2.033,10.815,65.987,111.68,144.845,159.505,163.81,210.129,235.309,279.134,341.322,399.684,487.896,532.063,583.255,558.907,530.018,508.596,494.127,645.391,810.084,819.49,855.616,975.219,969.688,1064.013,1132.812,1185.231,1235.438,1286.802,1337.695
"Congo, Republic of ",149.469,140.306,136.044,134.807,134,133.796,135.118,135.861,113.5,101.91,97.44,98.542,93.781,88.567,118.742,119.482,134.309,137.575,110.08,138.778,192.569,170.77,173.535,163.556,191.658,221.708,239.548,248.965,284.024,222.483,284.513,309.251,316.116,316.152,314.805,311.999,316.625,297.674,355.317,344.459,292.42,311.26,334.818,308.695,305.697,303.907,303.227,303.752,304.609
Costa Rica,5.076,6.544,11.35,14.083,15.861,18.533,21.447,23.052,26.462,29.346,33.519,53.176,62.248,67.152,76.051,90.308,102.053,115.05,127.352,139.433,149.147,160.04,173.006,187.723,207.222,227.068,248.872,267.808,292.787,319.146,336.26,344.546,353.785,357.828,363.422,364.163,352.897,350.817,350.091,352.751,350.897,342.455,338.485,330.493,332.589,336.153,339.99,343.916,347.797
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.011,0.167,0.347,0.359,0.366,0.384,0.412,0.421,0.43,0.438,0.448,0.458,0.463,0.463,0.466,0.473,0.49,0.501,0.5,0.498,0.486,0.474,0.47,0.466,0.449,0.442,0.44,0.441,0.438,0.428,0.433,0.447,0.457,0.459,0.462,0.463,0.465
Cyprus,0.464,0.474,0.491,0.498,0.519,0.533,0.544,0.552,0.55,0.555,0.564,0.567,0.588,0.604,0.622,0.634,0.639,0.642,0.647,0.653,0.656,0.665,0.657,0.679,0.679,0.672,0.672,0.681,0.7,0.697,0.702,0.699,0.707,0.687,0.68,0.663,0.622,0.615,0.607,0.604,0.589,0.58,0.577,0.593,0.597,0.601,0.604,0.607,0.61
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.91,11.746,12.507,13.581,13.799,13.742,14.097,14.258,14.163,14.351,13.928,13.6,13.711,13.723,13.989,13.625,13.345,13.298,12.785,12.703,12.935,12.578,12.378,12.397,12.653,13.029,12.884,13.069,13.64,14.033,14.133,14.233,14.309,14.335
Côte d'Ivoire,141.892,133.505,136.157,140.625,158.333,155.365,149.936,140.389,134.29,128.67,118.414,115.301,112.709,116.86,168.56,186.03,191.067,195.744,200.61,199.378,199.339,209.366,219.898,225.995,213.725,209.923,207.191,207.657,221.073,224.818,234.114,236.911,241.715,247.242,246.519,250.638,252.411,253.746,251.956,250.878,251.44,247.032,237.337,236.244,235.862,235.479,234.923,234.27,234.608
